,GS,FTr,BLK%,VORP,3P%,Popularity,C,Allstar
647,22,0.346,0.9,1.4,0.221,228,0,0
648,77,0.379,2.3,1.8,0,682,0,0
649,5,0.162,0.6,0.2,0.438,212,0,0
650,8,0.252,4.3,-0.1,0.3,152,1,0
651,73,0.38,3.8,1.5,0,1038,0,0
652,0,0.286,0,0,0.4,289,0,0
653,65,0.201,1.2,0.5,0.318,193,0,0
654,2,0.328,0.7,-0.1,0,460,0,0
655,0,0.197,0.2,0.5,0.384,353,0,0
656,4,0.226,0.3,-0.2,0.376,364,0,0
657,78,0.211,1.2,1.8,0.38,188,0,0
658,0,0.051,1,-0.1,0.455,162,0,0
662,0,0.179,2.1,0.2,0,841,1,0
663,82,0.122,2.1,1.8,0.37,118,0,0
664,4,0.065,2.3,0.5,0.358,688,0,0
665,54,0.132,3,0,0,353,1,0
666,0,0.045,0.4,-0.8,0.375,514,0,0
667,59,0.339,3.2,2.4,0.182,615,1,1
668,60,0.287,3.5,1.3,0.286,562,1,1
672,24,0.258,1.2,-0.2,0.328,675,0,0
673,80,0.341,0.6,4.9,0.364,328,0,0
674,8,0.314,3.7,0.5,0,477,0,0
675,3,0.3,0.8,2.4,0.349,322,0,0
677,0,0.189,1.5,0.1,0.412,780,1,0
678,0,0.329,1.6,-0.3,0.139,276,0,0
679,0,0.194,0.6,-0.3,0.276,1275,0,0
680,64,0.273,0.5,0.4,0.391,584,0,0
681,80,0.273,3.8,2,1,612,1,0
685,59,0.125,2.7,2.2,0.415,150,0,0
686,12,0.268,3,2.2,0.333,10,0,0
687,48,0.229,1.4,1.8,0.4,639,0,0
688,82,0.304,1.3,0,0.341,611,0,0
689,9,0.125,1,-0.3,0.339,1569,0,0
690,80,0.496,1.4,4.8,0.273,450,0,1
691,2,0.222,0.3,-0.1,0.25,1052,0,0
698,4,0.944,1.6,0,0,368,0,0
699,1,0.186,0.3,-0.1,0.363,282,0,0
700,73,0.552,0.8,5.4,0.366,525,0,1
701,41,0.296,2,0.9,0.383,704,0,0
702,0,0.085,3.8,0.1,0.387,338,1,0
703,0,0.169,0,-0.3,0.34,795,0,0
704,0,0.453,0.2,0.1,0.307,539,0,0
705,0,0.171,0.4,-0.1,0.35,382,0,0
706,0,0.443,2.4,0.1,0,2758,0,0
707,36,0.341,1,0.1,0.254,162,0,0
715,77,0.369,1.1,2.1,0.304,656,0,0
716,77,0.332,1,0.2,0.348,398,0,0
717,5,0.513,0.6,-0.4,0.346,183,0,0
718,23,0.277,5.1,1.1,0,284,0,0
719,81,0.357,5.7,1.1,0.4,137,1,0
720,52,0.443,2,0.6,0,343,0,0
721,37,0.448,2.5,0.9,0.2,574,0,0
722,76,0.286,0.7,2.7,0.365,1043,0,0
723,32,0.347,3.1,0.5,0,1380,0,0
724,0,0.175,0.7,0,0.304,235,0,0
725,61,0.202,1,0.6,0.351,639,0,0
726,34,0.139,0.9,0.8,0.39,249,0,0
727,0,0.5,0,0,0,613,0,0
728,29,0.202,3.6,1.1,0.364,86,1,1
729,71,0.798,4,2.4,0.286,170,1,0
730,5,0.09,0.2,0,0.36,1060,0,0
731,30,0.312,3.4,0.7,0,1353,0,0
732,81,0.203,6.7,2.6,0.383,510,0,0
733,63,0.288,0.7,2.6,0.354,118,0,0
734,47,0.225,0.4,-0.5,0.282,315,0,0
735,71,0.273,0.8,3.3,0.358,367,0,1
737,31,0.213,0.8,-0.2,0.341,389,0,0
738,36,0.193,0.3,0.9,0.339,535,0,0
739,0,0.154,0.7,-0.1,0.071,682,0,0
740,0,0.478,4.5,-0.1,0,1959,1,0
741,1,0.222,1.4,0,0,611,0,0
742,77,0.432,0.8,8,0.379,581,0,1
743,0,0.095,0,-0.2,0.2,793,0,0
744,0,0.272,0.9,-0.2,0.195,692,0,0
745,73,0.201,2.4,2.5,0.2,1110,1,0
746,78,0.248,0.5,0.3,0.409,81,0,0
747,0,0.095,0.5,-0.2,0.222,1034,0,0
748,79,0.283,0.2,1,0.337,504,0,0
749,0,0.284,0.6,0,0.419,198,0,0
750,72,0.234,3.2,2.6,0.303,183,0,0
751,0,0.201,0.4,0.2,0.339,1253,0,0
752,4,0.292,5,1.6,0.253,3358,0,0
753,79,0.192,0.3,1.2,0.401,380,0,0
757,62,0.118,2.5,1.2,0.369,220,0,0
