,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
145,32,49,42,1655,0.048,0.307,19.9,0.7,2.7,13.7,20.5,0.107,1.5,0.286,0.475,178,0.702,200,24,61,104,419,0,13.73,0
149,25,82,82,2541,0.294,0.276,8.2,2.2,0.9,13.7,16.9,0.036,0.3,0.315,0.45,205,0.795,133,107,29,132,392,0,10.27,0
150,29,36,13,644,0.374,0.173,6.4,1.3,0.5,9.7,11.5,0.114,0.3,0.308,0.644,24,0.875,26,16,4,16,516,0,5.03,0
151,22,79,79,2972,0.399,0.233,19.6,2.6,1.3,15.2,23.5,0.145,5,0.362,0.457,274,0.807,327,143,51,233,105,0,17.43,1
152,26,46,3,919,0.66,0.15,13.4,1.7,0.4,10.5,14.3,0.026,-0.3,0.344,0.333,37,0.703,82,30,4,31,1142,0,5.43,0
153,27,65,5,1459,0.009,0.297,7.1,1,4.7,13.2,18.1,0.109,0.5,0,0.49,131,0.679,61,27,90,76,321,0,7.95,0
154,35,60,0,1393,0.436,0.382,30.6,2.9,0.7,17.3,25.2,0.155,2,0.353,0.48,206,0.796,274,80,13,132,321,0,11.75,0
155,31,16,0,151,0.082,0.262,6.1,1.7,2.9,11.7,22.2,-0.034,-0.2,0.2,0.339,16,0.688,6,5,6,9,405,1,3.25,0
156,29,75,0,1560,0.384,0.167,17.6,1.2,0.8,14.3,27.8,-0.018,-1.2,0.387,0.421,127,0.843,141,35,16,136,1090,0,11.2,0
157,24,42,40,1264,0.296,0.38,19.3,1.9,0.5,14.6,29.4,0.042,-0.2,0.324,0.436,222,0.842,137,45,8,117,668,0,16.98,0
158,28,61,61,1876,0.005,0.244,6.5,1.1,3.9,13.6,17.2,0.086,0.7,0,0.524,138,0.652,75,40,98,99,291,1,11.15,0
160,29,5,0,74,0.286,0.229,6.9,1.4,1,9.4,26.2,-0.075,-0.1,0.2,0.32,8,0.625,3,2,1,4,376,0,5.4,0
161,25,80,80,2201,0.623,0.119,9.5,2.1,1.8,11.9,16.6,0.128,2.9,0.429,0.48,79,0.848,141,92,54,94,251,0,10.48,0
162,22,79,1,1061,0.261,0.214,7,2,1.8,15.4,14,0.028,-0.3,0.209,0.368,55,0.818,53,42,25,51,2,0,2.87,0
163,27,60,7,1080,0.443,0.153,7.9,0.9,1.6,10.5,21.3,0.056,-0.4,0.314,0.407,65,0.8,50,19,23,53,369,0,7.02,0
164,26,81,17,2252,0.226,0.329,9.6,1.3,2.4,12.5,22.2,0.099,0.7,0.385,0.49,265,0.808,128,56,68,132,983,0,12.79,0
165,31,72,60,1188,0.43,0.083,7.1,1.3,0.8,7.2,16.6,0.103,0.2,0.428,0.486,32,0.719,55,29,12,31,1743,0,6.25,0
166,23,80,80,2598,0.026,0.397,19.9,2,1.6,12.8,25.4,0.196,4.5,0.179,0.548,426,0.66,299,97,50,185,384,0,18,1
167,22,40,1,397,0.363,0.129,9.2,1.9,1.6,8.2,25.3,0.1,0.1,0.37,0.445,26,0.5,23,15,8,19,195,0,5.2,0
168,34,50,45,1088,0.109,0.162,19.9,1.2,0.3,14.2,25,0.016,-1,0.308,0.444,77,0.857,119,24,5,84,1278,0,9.8,0
169,25,28,0,200,0.511,0.6,16.1,1.9,0.7,24,17.1,0.044,-0.1,0.261,0.409,27,0.778,21,7,2,18,800,0,2.04,0
170,27,81,8,1366,0.007,0.737,4.4,1.1,1,12.6,20.6,0.154,-0.3,0,0.436,300,0.72,36,29,18,78,818,0,7.01,0
171,23,78,78,2985,0.364,0.592,25.7,2.4,1,14.9,29,0.206,5.7,0.368,0.477,792,0.851,455,142,38,295,530,0,25.94,1
172,19,76,59,1974,0.207,0.227,3.9,2.3,2.4,10,15.9,0.059,0.5,0.274,0.51,128,0.57,50,88,62,69,1023,0,8.22,0
173,23,6,0,31,0.556,0.222,0,1.7,2.6,23.3,19.9,0.002,-0.1,0.2,0.75,2,0.5,0,1,1,3,740,1,1.67,0
174,32,10,0,119,0.526,0.07,13.7,1.8,0.6,10.6,25.1,-0.012,-0.1,0.267,0.444,4,0.75,10,4,1,7,1078,1,5.1,0
175,29,58,34,1421,0.519,0.348,21.7,2.3,0.7,14.7,19.5,0.111,0.7,0.335,0.549,154,0.727,197,64,13,88,658,0,9.95,0
180,24,82,40,2233,0.107,0.194,13.5,0.6,3.9,13,20.9,0.096,1.1,0.356,0.477,157,0.777,183,24,113,131,236,1,11.04,0
181,29,74,1,1209,0.005,0.253,13.1,1.3,1.2,17.2,9.4,0.06,0.4,0,0.444,48,0.625,112,31,18,44,1135,1,2.68,0
182,22,72,27,2104,0.318,0.38,16.7,1.5,1.4,11.7,22.1,0.123,1.7,0.415,0.444,294,0.827,213,58,38,120,263,0,14.12,0
183,26,4,0,31,0.4,0.6,14.2,3.3,0,0,18.3,0.087,0,0,0.333,6,1,3,2,0,0,1378,0,2.5,0
